,Mean Training Accuracy,Mean Training Precision,Mean Training Recall,Mean Training F1 Score,Mean Validation Accuracy,Mean Validation Precision,Mean Validation Recall,Mean Validation F1 Score,Dimensionality Reduction
QDA,1.0,1.0,1.0,1.0,0.4314285714285715,0.7533333333333333,0.28909090909090907,0.4114285714285715,KernelPCA
Nearest Neighbors,0.7605565638233515,1.0,0.6685249709639953,0.7999951224270803,0.43047619047619046,0.6833333333333333,0.40545454545454546,0.49483193277310916,TruncatedSVD
Linear SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,TruncatedSVD
RBF SVM,0.7325468844525106,0.7301017433866799,1.0,0.8438897538396801,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,TruncatedSVD
Poly SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,TruncatedSVD
Gaussian Process,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,TruncatedSVD
Decision Tree,0.8818511796733212,0.8994906076289055,0.9469221835075492,0.9200590256550794,0.5990476190476189,0.7034615384615386,0.7545454545454546,0.7219429997919701,TruncatedSVD
Random Forest,0.9096793708408952,0.9033074652903407,0.9807200929152149,0.940209592179263,0.5847619047619048,0.6824009324009324,0.790909090909091,0.7318181818181818,TruncatedSVD
Neural Net,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,TruncatedSVD
AdaBoost,1.0,1.0,1.0,1.0,0.6371428571428571,0.762020202020202,0.7309090909090908,0.7434586466165414,TruncatedSVD
Naive Bayes,0.4480338777979432,0.7906715506715506,0.3221835075493612,0.45542030474233863,0.4333333333333333,0.8047619047619048,0.3309090909090909,0.4399698340874812,TruncatedSVD
QDA,0.4514821536600121,0.7928360528360529,0.326945412311266,0.46008300315503703,0.43428571428571433,0.7942857142857143,0.3327272727272727,0.43702865761689297,TruncatedSVD
Nearest Neighbors,0.7605565638233515,1.0,0.6685249709639953,0.7999951224270803,0.43047619047619046,0.6833333333333333,0.40545454545454546,0.49483193277310916,FactorAnalysis
Linear SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,FactorAnalysis
RBF SVM,0.7325468844525106,0.7301017433866799,1.0,0.8438897538396801,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,FactorAnalysis
Poly SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,FactorAnalysis
Gaussian Process,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,FactorAnalysis
Decision Tree,0.8784029038112523,0.8992341973724953,0.9421602787456445,0.9174092213792587,0.6133333333333333,0.707857142857143,0.7745454545454546,0.7320879273282019,FactorAnalysis
Random Forest,0.9165759225650332,0.9008734376008432,0.9952380952380953,0.9453386498483018,0.5704761904761905,0.66993006993007,0.7909090909090908,0.7236495388669302,FactorAnalysis
Neural Net,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,FactorAnalysis
AdaBoost,1.0,1.0,1.0,1.0,0.6371428571428571,0.762020202020202,0.7309090909090908,0.7434586466165414,FactorAnalysis
Naive Bayes,0.4480338777979432,0.7906715506715506,0.3221835075493612,0.45542030474233863,0.4333333333333333,0.8047619047619048,0.3309090909090909,0.4399698340874812,FactorAnalysis
QDA,0.4514821536600121,0.7928360528360529,0.326945412311266,0.46008300315503703,0.43428571428571433,0.7942857142857143,0.3327272727272727,0.43702865761689297,FactorAnalysis
Nearest Neighbors,0.7605565638233515,1.0,0.6685249709639953,0.7999951224270803,0.43047619047619046,0.6833333333333333,0.40545454545454546,0.49483193277310916,FastICA
Linear SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,FastICA
RBF SVM,0.7325468844525106,0.7301017433866799,1.0,0.8438897538396801,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,FastICA
Poly SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,FastICA
Gaussian Process,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,FastICA
Decision Tree,0.8818511796733212,0.8994906076289055,0.9469221835075492,0.9200590256550794,0.5990476190476189,0.7034615384615386,0.7545454545454546,0.7219429997919701,FastICA
Random Forest,0.9165759225650332,0.90711539873427,0.9853658536585366,0.9444124313010885,0.5695238095238094,0.6845221445221445,0.7509090909090907,0.7145021645021645,FastICA
Neural Net,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,FastICA
AdaBoost,1.0,1.0,1.0,1.0,0.6371428571428571,0.762020202020202,0.7309090909090908,0.7434586466165414,FastICA
Naive Bayes,0.4480338777979432,0.7906715506715506,0.3221835075493612,0.45542030474233863,0.4333333333333333,0.8047619047619048,0.3309090909090909,0.4399698340874812,FastICA
QDA,0.4514821536600121,0.7928360528360529,0.326945412311266,0.46008300315503703,0.43428571428571433,0.7942857142857143,0.3327272727272727,0.43702865761689297,FastICA
Nearest Neighbors,0.7605565638233515,1.0,0.6685249709639953,0.7999951224270803,0.43047619047619046,0.6833333333333333,0.40545454545454546,0.49483193277310916,NMF
Linear SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,NMF
RBF SVM,0.7325468844525106,0.7301017433866799,1.0,0.8438897538396801,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,NMF
Poly SVM,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,NMF
Gaussian Process,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,NMF
Decision Tree,0.8784029038112523,0.8992341973724953,0.9421602787456445,0.9174092213792587,0.5990476190476189,0.7034615384615386,0.7545454545454546,0.7219429997919701,NMF
Random Forest,0.9098003629764065,0.8907549951273083,1.0,0.941768155942729,0.6247619047619047,0.6915750915750916,0.8654545454545455,0.768498023715415,NMF
Neural Net,0.7222020568663037,0.7222020568663037,1.0,0.8386938775510204,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,NMF
AdaBoost,1.0,1.0,1.0,1.0,0.6514285714285715,0.7665656565656566,0.7509090909090909,0.7547140578719527,NMF
Naive Bayes,0.4480338777979432,0.7906715506715506,0.3221835075493612,0.45542030474233863,0.4333333333333333,0.8047619047619048,0.3309090909090909,0.4399698340874812,NMF
QDA,0.4514821536600121,0.7928360528360529,0.326945412311266,0.46008300315503703,0.43428571428571433,0.7942857142857143,0.3327272727272727,0.43702865761689297,NMF
Nearest Neighbors,1.0,1.0,1.0,1.0,0.6933333333333332,0.7131135531135531,0.96,0.8181716833890746,none
Linear SVM,1.0,1.0,1.0,1.0,0.6533333333333333,0.713952713952714,0.8672727272727274,0.7813664596273291,none
RBF SVM,1.0,1.0,1.0,1.0,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,none
Poly SVM,0.7742891712038718,0.7619897084048028,1.0,0.8648890473056957,0.7219047619047619,0.7219047619047619,1.0,0.8384615384615384,none
Gaussian Process,1.0,1.0,1.0,1.0,0.3171428571428571,0.47333333333333333,0.20909090909090908,0.2866666666666666,none
Decision Tree,1.0,1.0,1.0,1.0,0.6,0.7047552447552448,0.7545454545454545,0.725947675512893,none
Random Forest,0.8891712038717483,0.8704296499717046,1.0,0.9298432810595963,0.7066666666666667,0.7323809523809525,0.9418181818181818,0.8219316914969088,none
Neural Net,1.0,1.0,1.0,1.0,0.6838095238095238,0.7474025974025975,0.850909090909091,0.7933182759269716,none
AdaBoost,1.0,1.0,1.0,1.0,0.6133333333333333,0.7055844155844155,0.7927272727272727,0.7430303030303032,none
Naive Bayes,0.9965517241379309,1.0,0.9952380952380953,0.9975903614457831,0.7076190476190476,0.7175091575091574,0.9800000000000001,0.8283166109253065,none
QDA,1.0,1.0,1.0,1.0,0.6238095238095237,0.7083116883116884,0.8054545454545454,0.7525390551477508,none
